Year,Film,AA,CC.BP,DGA,PGA.BP,B.BD,B.BP,CC.BD,GG.SP,GG.BP.D
2015(88th Annual Awards),I Smile Back,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),In the Heart of the Sea,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Infinitely Polar Bear,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Inside Out,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Intern,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Irrational Man,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),It Follows,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Jalam,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),James White,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Jenny’s Wedding,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Jimmy’s Hall,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Joy,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Jupiter Ascending,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Jurassic World,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Just Before I Go,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Kingsman: The Secret Service,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Krampus,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),"Kumiko, the Treasure Hunter",0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Labyrinth of Lies,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Lady in the Van,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Last Five Years,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Last Witch Hunter,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Laws of the Universe - Part 0,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Learning to Drive,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Legend,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Letters,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Lila and Eve,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Little Accidents,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Longest Ride,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Lost Birds,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Lost River,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Love & Mercy,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Love at First Fight,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Macbeth,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Mad Max: Fury Road,1,1,1,1,0,0,1,0,1
2015(88th Annual Awards),Maggie,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Magic Mike XXL,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Man from U.N.C.L.E.,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Manglehorn,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Martian,1,1,1,1,1,0,1,0,0
2015(88th Annual Awards),Match,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Max,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Maze Runner: The Scorch Trials,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),"McFarland, USA",0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Me and Earl and the Dying Girl,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Meadowland,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Mediterranea,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Minions,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Miss You Already,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Mission: Impossible - Rogue Nation,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Mississippi Grind,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Mr. Holmes,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Mistress America,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Moomins on the Riviera,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Mortdecai,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Mustang,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),My All American,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Nachom-Ia Kumpasar,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Night Before,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),99 Homes,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),No Escape,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Our Brand Is Crisis,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Pan,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Paper Towns,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Paranoid Girls,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Paranormal Activity: The Ghost Dimension,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Paul Blart: Mall Cop 2,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Paulo Coelho’s Best Story,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Pawn Sacrifice,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Peanuts Movie,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Perfect Guy,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Pitch Perfect 2,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Pixels,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Point Break,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Poltergeist,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Project Almanac,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Queen and Country,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Rangitaranga,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Remember,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),A Reunion,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Revenant,1,1,1,1,1,1,1,0,1
2015(88th Annual Awards),Ricki and the Flash,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Ride the Thunder - A Vietnam War Story of Victory & Betrayal,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Road Within,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Rock the Kasbah,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Room,1,1,0,0,0,0,0,1,1
2015(88th Annual Awards),The Rumperbutts,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Run All Night,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Saint Laurent,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Salt Bridge,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Salvation,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Samba,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),San Andreas,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Scouts Guide to the Zombie Apocalypse,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Second Best Exotic Marigold Hotel,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Secret in Their Eyes,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Serena,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Set Fire to the Stars,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Seventh Son,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),’71,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Sharkskin,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Shaun the Sheep Movie,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Sicario,0,1,0,1,0,0,0,0,0
2015(88th Annual Awards),Sisters,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Sleeping with Other People,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Son of Saul,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Southpaw,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Spectre,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Spongebob Movie: Sponge out of Water,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Spotlight,1,1,1,1,0,1,1,1,1
2015(88th Annual Awards),Spy,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Stanford Prison Experiment,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Star Wars: The Force Awakens,0,1,0,0,0,0,0,0,0
2015(88th Annual Awards),Steve Jobs,0,0,0,0,0,0,0,1,0
2015(88th Annual Awards),Straight Outta Compton,0,0,0,1,0,0,0,0,0
2015(88th Annual Awards),Strange Magic,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Suffragette,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Summer of Sangaile,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Taken 3,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Tangerine,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Ted 2,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),"10,000 km",0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Terminator Genisys,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Testament of Youth,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The 33,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Time out of Mind,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Tomorrowland,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Trainwreck,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Tribe,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),True Story,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Trumbo,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Truth,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Two Men in Town,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Uncle John,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Vacation,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Victor Frankenstein,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Victoria,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Visit,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Walk,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),A Walk in the Woods,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),War Room,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Water Diviner,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),We Are Your Friends,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Wedding Ringer,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),When Marnie Was There,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),While We’re Young,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),White God,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Wolf Totem,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Woman in Gold,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),You Carry Me,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Youth,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Z for Zachariah,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Grand Budapest Hotel,1,1,1,1,1,1,1,1,0
2014(87th Annual Awards),Greencard Warriors,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Guardians of the Galaxy,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Guest,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),A Haunted House 2,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Heaven Is for Real,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Hector and the Search for Happiness,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Henry & Me,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Hercules,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Hero of Color City,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Hobbit: The Battle of the Five Armies,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Homesman,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Horns,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Horrible Bosses 2,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Hot Guys with Guns,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),How to Train Your Dragon 2,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Human Capital,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Humbling,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Hundred-Foot Journey,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Hunger Games: Mockingjay—Part 1,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),"I, Frankenstein",0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),I Origins,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Ida,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),If I Stay,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Imitation Game,1,1,1,1,0,1,0,1,1
2014(87th Annual Awards),The Immigrant,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),In Fear,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),In the Blood,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Inherent Vice,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Interstellar,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Into the Storm,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Into the Woods,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Jack and the Cuckoo-Clock Heart,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Jack Ryan: Shadow Recruit,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Jersey Boys,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Jimi: All Is by My Side,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Joe,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),John Wick,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Judge,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Kill the Messenger,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Kochadaiiyaan,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Land Hoi,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Last of Robin Hood,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Legend of Hercules,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Legends of Oz: Dorothy’s Return,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Lego Movie,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Let’s Be Cops,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Leviathan,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Liberator,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Life Inside Out,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Life of an Actress the Musical,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Life of Crime,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Lilting,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Living Is Easy with Eyes Closed,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Locke,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Love Is Strange,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Low Down,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Lucy,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Lunchbox,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Magic in the Moonlight,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Maleficent,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Maze Runner,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),"Men, Women & Children",0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Million Dollar Arm,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),A Million Ways to Die in the West,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Minugurulu,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Miss Julie,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Mr. Peabody & Sherman,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Mr. Turner,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Mommy,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Moms’ Night Out,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Monuments Men,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),A Most Violent Year,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),A Most Wanted Man,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Muppets Most Wanted,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),My Old Lady,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Need for Speed,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Night at the Museum: Secret of the Tomb,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Night Moves,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Nightcrawler,0,1,0,1,0,0,0,0,0
2014(87th Annual Awards),"No God, No Master",0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Noah,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Non-Stop,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The November Man,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Nut Job,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Obvious Child,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Oculus,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),On the Other Side of the Tracks,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),100 Days,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The One I Love,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The One I Wrote for You,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Only Lovers Left Alive,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Other Woman,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Ouija,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Paddington,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Palo Alto,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Paranormal Activity: The Marked Ones,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Penguins of Madagascar,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Planes: Fire & Rescue,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Playback Singer,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Pompeii,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Possession of Michael King,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Pride,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Purge: Anarchy,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Quiet Ones,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Raid 2,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Railway Man,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Reach Me,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Remaining,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Return to Nuke ’em High Volume 1,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Ride Along,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Rio 2,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Rob the Mob,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Robocop,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Rocks in My Pockets,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Rosewater,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Rover,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Rudderless,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Sabotage,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),St. Vincent,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Selma,1,1,0,0,0,0,1,0,1
2014(87th Annual Awards),Sex Tape,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Signal,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Six Dance Lessons in Six Weeks,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),The Skeleton Twins,0,0,0,0,0,0,0,0,0
2014(87th Annual Awards),Small Time,0,0,0,0,0,0,0,0,0
